Text,Sentiment
I love this product!,1
This is terrible.,0
"Absolutely fantastic, would buy again!",1
"Not worth the price, very disappointing.",0
"Excellent quality, highly recommend!",1
"Poor customer service, very frustrating.",0
"Perfect, exactly what I was looking for!",1
"Would never buy this again, terrible quality.",0
Best purchase I’ve made in a while.,1
"Very bad, do not recommend.",0
"Great product, easy to use.",1
"Totally dissatisfied, waste of money.",0
"Highly recommended, works as expected.",1
"Could be better, but decent.",0
Really happy with this purchase!,1
"Horrible experience, would not recommend.",0
Love it! My kids enjoy it too.,1
"Not as described, very disappointing.",0
"Fantastic, exactly as shown in the pictures.",1
"Completely useless, don’t waste your money.",0
"Superb quality, worth every penny.",1
"Not worth the hype, really poor.",0
Great value for the money!,1
"Terrible design, very uncomfortable.",0
Really happy with the performance.,1
"Does not work as expected, very bad.",0
"Love this product, highly effective.",1
"Really bad experience, very slow.",0
Awesome! Better than I expected.,1
"Very low quality, would not buy again.",0
"I am in love with this, highly recommend!",1
"Absolutely awful, complete waste of money.",0
"Perfect, exceeded my expectations.",1
"Doesn’t work at all, totally useless.",0
"Fantastic purchase, great value!",1
"Really disappointed, didn’t meet expectations.",0
Very satisfied with my purchase!,1
"Terrible quality, not recommended.",0
Best buy I’ve made in months!,1
"Very poor, would never buy again.",0
Super satisfied with my purchase.,1
"Disappointed, it broke in a week.",0
"Really happy with the product, great quality.",1
"Horrible, didn’t work as described.",0
"Great item, works perfectly.",1
"Very disappointing, poor build quality.",0
"Absolutely wonderful, would recommend to everyone.",1
"Complete disappointment, not as expected.",0
"Perfect for my needs, works great!",1
"Very bad, didn’t work from day one.",0
"Very satisfied, will buy again.",1
"Doesn’t work as promised, very unhappy.",0
Love it! Will buy more.,1
"Disgusting quality, do not buy.",0
"Very happy with my purchase, great value.",1
"Completely useless, waste of money.",0
"Excellent, much better than I expected.",1
"Total waste of money, avoid.",0
"Perfect, works just as described.",1
"Really disappointed, very poor quality.",0
"Fantastic product, I use it every day!",1
"Very bad, stopped working after a week.",0
"Great product, very reliable.",1
"Don’t waste your money, it’s terrible.",0
"Love it, works like a charm.",1
"Really poor quality, very disappointed.",0
"Absolutely amazing, I’m so happy!",1
"Doesn’t do what it says, very poor.",0
"Best purchase ever, would definitely recommend!",1
"Really bad product, do not buy.",0
"Superb, very satisfied with this purchase.",1
"Quality is very low, not recommended.",0
"Great purchase, very functional.",1
"Very bad experience, not as described.",0
"Perfect fit, works exactly as advertised.",1
"Terrible product, didn’t meet expectations.",0
Love it! Great quality.,1
"Very poor quality, don’t waste your time.",0
"Great buy, very happy with it.",1
"Completely awful, would never buy again.",0
"Awesome product, highly recommended.",1
"Very disappointing, did not work.",0
"Very happy with this, exceeded my expectations!",1
"Doesn’t work properly, very frustrating.",0
"Fantastic, works just as described.",1
"Very bad, not as expected.",0
"Absolutely love it, great quality!",1
"Doesn’t function well, very disappointed.",0
"Great value for the money, really good product.",1
"Terrible quality, would not recommend.",0
Perfect! Everything I hoped for.,1
"Poor quality, doesn’t work as advertised.",0
"Very happy with the purchase, worth the price!",1
"Very poor product, stopped working.",0
Love it! Would recommend to anyone.,1
"Really bad, waste of money.",0
"Great product, very efficient.",1
"Not worth the money, poor quality.",0
"Awesome, exactly what I wanted!",1
"Disappointed with the quality, do not buy.",0
"Love this, very satisfied.",1
"Totally useless, not worth the cost.",0
"Fantastic item, very useful.",1
"Completely disappointed, not as expected.",0
"Great purchase, works as promised.",1
"Not good at all, very poor quality.",0
Absolutely worth every penny!,1
"Very bad, does not work as advertised.",0
Love it! Exactly what I needed.,1
"Very low quality, not recommended.",0
"Perfect for my needs, very useful.",1
"Terrible quality, would not buy again.",0
"Very satisfied, would buy again.",1
"Not a good experience, very slow.",0
"Really great product, would buy again!",1
"Terrible, broke within a week.",0
"Best product ever, highly recommended!",1
"Very poor quality, very dissatisfied.",0
Love it! Much better than expected.,1
"Doesn’t work properly, very disappointing.",0
"Great quality, happy with my purchase.",1
"Totally waste of money, avoid it.",0
Best purchase I’ve made in years!,1
"Disappointing, didn’t work as promised.",0
"Very happy with this, would recommend!",1
"Awful, does not work at all.",0
"Fantastic, so glad I bought it!",1
"Very bad experience, would not recommend.",0
"Great quality, works well.",1
"Really bad, does not work as advertised.",0
Love it! Very satisfied with my purchase.,1
"Completely useless, don’t buy this.",0
"Fantastic product, really happy!",1
"Terrible, do not waste your money.",0
"Super happy with this purchase, works great!",1
"Very disappointed, does not meet expectations.",0
"Excellent product, will definitely buy again.",1
"Doesn’t work at all, very poor quality.",0
"Love it, exactly as described.",1
"Very bad, would never buy again.",0
"Fantastic, works just as advertised.",1
"Very poor quality, don’t buy.",0
"Great purchase, very happy with it.",1
"Very disappointing, broke after a few uses.",0
Love it! Works perfectly.,1
"Really bad quality, waste of money.",0
"Awesome, works better than expected.",1
"Disappointing, very bad experience.",0
Super happy with this product!,1
"Not worth the price, very poor quality.",0
"Great item, really happy with it.",1
"Very disappointed, poor quality.",0
"Perfect, exceeded my expectations.",1
"Doesn’t work as expected, very bad.",0
Love it! Great buy.,1
"Very low quality, not recommended.",0
"Fantastic, exactly what I wanted!",1
"Doesn’t work well, very frustrating.",0
Really happy with this product.,1
"Not worth the money, very poor.",0
Superb! Exactly as described.,1
"Very disappointed, would not buy again.",0
"Love this, highly recommend!",1
"Really bad, don’t waste your money.",0
"Fantastic, will buy again.",1
"Poor quality, not recommended.",0
"Great quality, very satisfied.",1
"Not as described, very disappointed.",0
"Love it, exactly what I was hoping for!",1
"Really poor quality, very unhappy.",0
"Fantastic, highly recommended.",1
"Doesn’t work as advertised, very disappointed.",0
"Superb, exactly what I was looking for!",1
"Very bad quality, will not buy again.",0
What a great day!!! Looks like dream.,1
"I feel sorry, I miss you here in the sea beach",1
Don't angry me,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,0
"Those who want to go, let them go",0
2 am feedings for the baby are fun when he is all smiles and coos,1
Today first time I arrive in the boat. Its amazing journey,1
I really really like the song Cardigan by Taylor Swift,1
My Sharpie is running DANGERously low on ink,0
i want to go to music tonight but i lost my voice.,0
Don't distrube me,0
"I don't care, who are you and what can you do",0
"I'm come back home, my past job, its really good time for me",1
I will never fall in love until I found you,1
"Playing with kids, its amazing",1
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,0
"Its amazing game, I playing everyday",1
  I`m sorry.,0
"I'm in the village now and there hardly found internate, feeling gloomy",0
How looks like our company new logo?,1
"I buy Sophie's world book, I'm really so happy",1
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0
 That`s very funny.  Cute kids.,1
My semester final exam is complete. Hurray!!!,1
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0
